agl_thermal_conductivity_300K,agl_debye_temperature,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K
0.00987821,24.9947,12.4631,11.9958,6.0887e-05
0.0112583,59.0924,114.206,107.954,6.3195e-05
0.0116066,53.9545,112.634,107.973,4.25182e-05
0.0135628,60.1136,139.376,137.964,1.95965e-05
0.0174294,55.934,19.5651,17.972,0.000115117
0.0423582,62.8615,35.9224,35.9206,-3.17166e-06
0.0751166,118.973,175.641,154.985,0.000157375
0.0806927,60.0411,6.33457,5.98903,8.48215e-05
0.0851346,105.068,48.3764,41.7903,0.000145895
0.0862694,78.0328,23.192,17.9617,0.000363088
0.0889395,94.0595,89.5646,80.6629,0.000144056
0.0931128,74.9994,18.8956,17.9482,8.20083e-05
0.103934,115.943,123.274,107.335,0.000184023
0.106615,100.998,44.2226,41.7829,8.24619e-05
0.115645,85.9188,9.66657,8.96691,0.000116986
0.11653,152.101,167.781,154.225,9.07323e-05
0.123127,105.085,68.8017,59.7017,0.000174399
0.127749,99.8646,15.1468,11.9517,0.000259154
0.129937,80.9817,9.6817,8.97109,0.00010522
0.131425,90.9868,43.477,35.8762,0.000390019
0.135041,100.927,92.0723,86.5514,9.56569e-05
0.141756,118.987,167.623,160.789,7.64657e-05
0.142014,90.001,19.0403,17.9269,7.94782e-05
0.145393,150.866,98.0245,86.0758,0.000153488
0.147754,36.044,3.92381,2.99836,0.000571524
0.151357,90.0308,40.5607,35.8663,0.00019183
0.156747,162.074,120.567,106.677,0.000166145
0.158262,148.82,81.3091,71.2648,0.000180868
0.163857,111.93,56.1678,47.7331,0.000254013
0.163987,77.0066,6.7352,5.98328,0.000147621
0.165678,177.809,142.445,115.408,0.000243431
0.167805,168.17,129.265,115.433,0.000125764
0.173334,180.404,130.353,83.0626,0.000438465
0.179891,104.879,29.2627,23.888,0.000228482
0.191754,91.0333,13.3932,11.9537,0.000155309
0.192152,118.927,59.8421,53.6403,0.000155568
0.202649,167.987,86.0637,82.7703,5.06899e-05
0.205372,203.157,171.19,152.954,0.000130904
0.195279,42.9134,3.65166,2.99774,0.000416587
0.209277,92.9987,9.52342,8.96063,8.89741e-05
0.210181,92.9497,9.57429,8.96124,8.94223e-05
0.217168,139.913,64.0759,59.4187,9.49304e-05
0.217669,171.991,127.486,118.245,9.40598e-05
0.218698,83.8856,13.5672,11.9606,0.000166204
0.220104,191.069,124.769,82.8156,0.000416224
0.224866,54.9627,3.80184,2.99644,0.000462235
0.225344,64.0139,3.47908,2.99454,0.000185614
0.227295,124.991,43.7878,41.6607,7.92109e-05
0.233294,117.959,39.0944,35.7566,0.000122699
0.235055,174.835,81.908,70.9968,0.000203148
0.237855,89.0024,6.80807,5.97849,0.000172074
0.237469,117.001,27.5243,23.8528,0.000172452
0.241803,199.068,123.712,117.571,6.42553e-05
0.244717,161.866,116.929,106.633,0.000134979
0.249737,117.998,30.7628,26.8273,0.000181982
